GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03
Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Margin of Error; SEX AND AGE - Total population,Percent; SEX AND AGE - Total population,Percent Margin of Error; SEX AND AGE - Total population
0400000US01,01,Alabama,4803488,*****,4803488,(X)
0400000US02,02,Alaska,723120,*****,723120,(X)
0400000US04,04,Arizona,6477128,*****,6477128,(X)
0400000US05,05,Arkansas,2936822,*****,2936822,(X)
0400000US06,06,California,37686586,*****,37686586,(X)
0400000US08,08,Colorado,5117453,*****,5117453,(X)
0400000US09,09,Connecticut,3584561,*****,3584561,(X)
0400000US10,10,Delaware,908351,*****,908351,(X)
0400000US11,11,District of Columbia,618777,*****,618777,(X)
0400000US12,12,Florida,19081930,*****,19081930,(X)
0400000US13,13,Georgia,9815725,*****,9815725,(X)
0400000US15,15,Hawaii,1378239,*****,1378239,(X)
0400000US16,16,Idaho,1583422,*****,1583422,(X)
0400000US17,17,Illinois,12858490,*****,12858490,(X)
0400000US18,18,Indiana,6514516,*****,6514516,(X)
0400000US19,19,Iowa,3062869,*****,3062869,(X)
0400000US20,20,Kansas,2871709,*****,2871709,(X)
0400000US21,21,Kentucky,4364627,*****,4364627,(X)
0400000US22,22,Louisiana,4573595,*****,4573595,(X)
0400000US23,23,Maine,1328440,*****,1328440,(X)
0400000US24,24,Maryland,5837378,*****,5837378,(X)
0400000US25,25,Massachusetts,6605468,*****,6605468,(X)
0400000US26,26,Michigan,9879277,*****,9879277,(X)
0400000US27,27,Minnesota,5345721,*****,5345721,(X)
0400000US28,28,Mississippi,2977179,*****,2977179,(X)
0400000US29,29,Missouri,6009025,*****,6009025,(X)
0400000US30,30,Montana,997852,*****,997852,(X)
0400000US31,31,Nebraska,1842480,*****,1842480,(X)
0400000US32,32,Nevada,2727571,*****,2727571,(X)
0400000US33,33,New Hampshire,1318455,*****,1318455,(X)
0400000US34,34,New Jersey,8834249,*****,8834249,(X)
0400000US35,35,New Mexico,2076325,*****,2076325,(X)
0400000US36,36,New York,19490373,*****,19490373,(X)
0400000US37,37,North Carolina,9654079,*****,9654079,(X)
0400000US38,38,North Dakota,686244,*****,686244,(X)
0400000US39,39,Ohio,11541175,*****,11541175,(X)
0400000US40,40,Oklahoma,3786152,*****,3786152,(X)
0400000US41,41,Oregon,3868598,*****,3868598,(X)
0400000US42,42,Pennsylvania,12739595,*****,12739595,(X)
0400000US44,44,Rhode Island,1051236,*****,1051236,(X)
0400000US45,45,South Carolina,4677636,*****,4677636,(X)
0400000US46,46,South Dakota,824391,*****,824391,(X)
0400000US47,47,Tennessee,6404240,*****,6404240,(X)
0400000US48,48,Texas,25644550,*****,25644550,(X)
0400000US49,49,Utah,2814910,*****,2814910,(X)
0400000US50,50,Vermont,626172,*****,626172,(X)
0400000US51,51,Virginia,8105120,*****,8105120,(X)
0400000US53,53,Washington,6821303,*****,6821303,(X)
0400000US54,54,West Virginia,1854775,*****,1854775,(X)
0400000US55,55,Wisconsin,5708612,*****,5708612,(X)
0400000US56,56,Wyoming,569380,*****,569380,(X)
0400000US72,72,Puerto Rico,3694128,*****,3694128,(X)
