geo_id,state_name,STEM_count,total_population,adjusted_STEM_count,rebased_adjusted_STEM_count
US01,Alabama,279517,4803488,58.190423292407516,0.3144075474237144
US02,Alaska,60848,723120,84.14647638013055,0.45465019441568977
US04,Arizona,472692,6477128,72.97864115083105,0.39430948050075343
US05,Arkansas,151841,2936822,51.70248656540982,0.2793527023347676
US06,California,3601448,37686586,95.56312689082529,0.5163352773514857
US08,Colorado,581118,5117453,113.55609909851638,0.6135527564933041
US09,Connecticut,397993,3584561,111.02977463628042,0.5999028217922486
US10,Delaware,78861,908351,86.81776097565809,0.4690833604012712
US11,District of Columbia,114523,618777,185.07960056692477,1.0
US12,Florida,1437539,19081930,75.33509451088018,0.4070415879444208
US13,Georgia,708277,9815725,72.15738012220187,0.3898721409662313
US15,Hawaii,122189,1378239,88.65588624324228,0.4790148993820868
US16,Idaho,112512,1583422,71.05623137735866,0.3839225455409643
US17,Illinois,1107647,12858490,86.14129652859705,0.4654283684681304
US18,Indiana,401173,6514516,61.5813976049794,0.33272925496028166
US19,Iowa,202468,3062869,66.10403513829681,0.35716543009500173
US20,Kansas,217171,2871709,75.62430594464828,0.40860422063263824
US21,Kentucky,250477,4364627,57.38795090622864,0.31007172443878905
US22,Louisiana,257973,4573595,56.404863132830954,0.30476002195841656
US23,Maine,114880,1328440,86.47737195507513,0.4672442110863802
US24,Maryland,707999,5837378,121.2871600913972,0.6553243021914766
US25,Massachusetts,840775,6605468,127.28469807135542,0.6877294833221195
US26,Michigan,728161,9879277,73.70589973335093,0.39823891724198357
US27,Minnesota,495206,5345721,92.63596061223546,0.5005195620072581
US28,Mississippi,140493,2977179,47.189974133231495,0.2549712339376246
US29,Missouri,411677,6009025,68.50978320110167,0.37016388079100343
US30,Montana,89317,997852,89.50926590315999,0.48362577847034766
US31,Nebraska,130950,1842480,71.07268464243845,0.3840114438583877
US32,Nevada,163681,2727571,60.00980359448022,0.32423780584495415
US33,New Hampshire,138561,1318455,105.09346166535832,0.5678284443204022
US34,New Jersey,966469,8834249,109.40024443503913,0.5910983387684587
US35,New Mexico,156393,2076325,75.32202328633524,0.40697096306461283
US36,New York,1855545,19490373,95.20315491140164,0.5143903197315157
US37,North Carolina,735148,9654079,76.1489521683011,0.4114389264675641
US38,North Dakota,48962,686244,71.34780049078753,0.3854979169624271
US39,Ohio,783014,11541175,67.84525839006861,0.36657339967370295
US40,Oklahoma,218799,3786152,57.78928051488688,0.31224014066309963
US41,Oregon,364535,3868598,94.22922722908919,0.5091281099616157
US42,Pennsylvania,1036615,12739595,81.36954118243162,0.4396461897107261
US44,Rhode Island,95300,1051236,90.6551906517661,0.48981730225306597
US45,South Carolina,308838,4677636,66.02437641577926,0.356735027596436
US46,South Dakota,60344,824391,73.19827606075272,0.39549618562248967
US47,Tennessee,398962,6404240,62.29654104155997,0.3365932325914738
US48,Texas,1799359,25644550,70.16535677171173,0.3791090782386897
US49,Utah,201964,2814910,71.74794220774376,0.387659914912123
US50,Vermont,67718,626172,108.14600461215129,0.5843215799087793
US51,Virginia,902897,8105120,111.39835067216772,0.6018942678228122
US53,Washington,700984,6821303,102.76394407344169,0.5552418730030826
US54,West Virginia,96044,1854775,51.78202207814964,0.27978243912097306
US55,Wisconsin,431966,5708612,75.66918193073903,0.40884668920266587
US56,Wyoming,40563,569380,71.24064772208366,0.3849189619161894
US72,Puerto Rico,201777,3694128,54.6210093423942,0.2951217161431211
